"filename", "language", "TypeScript React", "TypeScript", "JSON", "Markdown", "JavaScript", "HTML", "CSS", "XML", "Ignore", "YAML", "comment", "blank", "total"
"c:\Users\emane\Desktop\App\Punto\.erb\configs\webpack.config.base.js", "JavaScript", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 7, 7, 53
"c:\Users\emane\Desktop\App\Punto\.erb\configs\webpack.config.eslint.js", "JavaScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 2, 6
"c:\Users\emane\Desktop\App\Punto\.erb\configs\webpack.config.main.prod.babel.js", "JavaScript", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 17, 13, 82
"c:\Users\emane\Desktop\App\Punto\.erb\configs\webpack.config.renderer.dev.babel.js", "JavaScript", 0, 0, 0, 0, 242, 0, 0, 0, 0, 0, 26, 17, 285
"c:\Users\emane\Desktop\App\Punto\.erb\configs\webpack.config.renderer.dev.dll.babel.js", "JavaScript", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 15, 15, 73
"c:\Users\emane\Desktop\App\Punto\.erb\configs\webpack.config.renderer.prod.babel.js", "JavaScript", 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 20, 14, 163
"c:\Users\emane\Desktop\App\Punto\.erb\mocks\fileMock.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\emane\Desktop\App\Punto\.erb\scripts\BabelRegister.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\emane\Desktop\App\Punto\.erb\scripts\CheckBuildsExist.js", "JavaScript", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 1, 4, 26
"c:\Users\emane\Desktop\App\Punto\.erb\scripts\CheckNativeDep.js", "JavaScript", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 3, 2, 50
"c:\Users\emane\Desktop\App\Punto\.erb\scripts\CheckNodeEnv.js", "JavaScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\emane\Desktop\App\Punto\.erb\scripts\CheckPortInUse.js", "JavaScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\emane\Desktop\App\Punto\.erb\scripts\DeleteSourceMaps.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 1, 8
"c:\Users\emane\Desktop\App\Punto\.erb\scripts\ElectronRebuild.js", "JavaScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\emane\Desktop\App\Punto\.erb\scripts\Notarize.js", "JavaScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 6, 29
"c:\Users\emane\Desktop\App\Punto\.eslintignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 12, 12, 57
"c:\Users\emane\Desktop\App\Punto\.eslintrc.js", "JavaScript", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 10, 1, 77
"c:\Users\emane\Desktop\App\Punto\CHANGELOG.md", "Markdown", 0, 0, 0, 341, 0, 0, 0, 0, 0, 0, 0, 193, 534
"c:\Users\emane\Desktop\App\Punto\CODE_OF_CONDUCT.md", "Markdown", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 20, 77
"c:\Users\emane\Desktop\App\Punto\README.md", "Markdown", 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 34, 158
"c:\Users\emane\Desktop\App\Punto\assets\assets.d.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\emane\Desktop\App\Punto\assets\icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 1, 24
"c:\Users\emane\Desktop\App\Punto\babel.config.js", "JavaScript", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 8, 12, 63
"c:\Users\emane\Desktop\App\Punto\codegen.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\emane\Desktop\App\Punto\graphql-schema.json", "JSON", 0, 0, 17868, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17868
"c:\Users\emane\Desktop\App\Punto\package-lock.json", "JSON", 0, 0, 22796, 0, 0, 0, 0, 0, 0, 0, 16, 1, 22813
"c:\Users\emane\Desktop\App\Punto\package.json", "JSON", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 260, 0, 347
"c:\Users\emane\Desktop\App\Punto\src\App.global.css", "CSS", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 4, 7, 59
"c:\Users\emane\Desktop\App\Punto\src\App.tsx", "TypeScript React", 197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 8, 218
"c:\Users\emane\Desktop\App\Punto\src\Database.ts", "TypeScript", 0, 402, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 415
"c:\Users\emane\Desktop\App\Punto\src\Inventario.json", "JSON", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 1, 52
"c:\Users\emane\Desktop\App\Punto\src\Punto.json", "JSON", 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 1, 98
"c:\Users\emane\Desktop\App\Punto\src\Title.jsx", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 3, 17
"c:\Users\emane\Desktop\App\Punto\src\__tests__\App.test.tsx", "TypeScript React", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\emane\Desktop\App\Punto\src\actions\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\emane\Desktop\App\Punto\src\actions\plazaActions.ts", "TypeScript", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 66
"c:\Users\emane\Desktop\App\Punto\src\actions\sessionActions.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\emane\Desktop\App\Punto\src\components\AlertMessage.tsx", "TypeScript React", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 86
"c:\Users\emane\Desktop\App\Punto\src\components\AuthGuard.tsx", "TypeScript React", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 46
"c:\Users\emane\Desktop\App\Punto\src\components\AutocompleteField.tsx", "TypeScript React", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 55
"c:\Users\emane\Desktop\App\Punto\src\components\AutocompleteFieldArray.tsx", "TypeScript React", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 95
"c:\Users\emane\Desktop\App\Punto\src\components\BlockingContext.tsx", "TypeScript React", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 25
"c:\Users\emane\Desktop\App\Punto\src\components\CancelDialog.tsx", "TypeScript React", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 73
"c:\Users\emane\Desktop\App\Punto\src\components\DataTable.tsx", "TypeScript React", 359, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 20, 387
"c:\Users\emane\Desktop\App\Punto\src\components\DetailsTable.tsx", "TypeScript React", 337, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 15, 366
"c:\Users\emane\Desktop\App\Punto\src\components\GlobalFilter.tsx", "TypeScript React", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 81
"c:\Users\emane\Desktop\App\Punto\src\components\GlobalStyles.tsx", "TypeScript React", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 50
"c:\Users\emane\Desktop\App\Punto\src\components\Header.tsx", "TypeScript React", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 150
"c:\Users\emane\Desktop\App\Punto\src\components\LoadingTable.tsx", "TypeScript React", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 54
"c:\Users\emane\Desktop\App\Punto\src\components\NotificacionesPopover.tsx", "TypeScript React", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 99
"c:\Users\emane\Desktop\App\Punto\src\components\NumberField.tsx", "TypeScript React", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\emane\Desktop\App\Punto\src\components\NumberFieldArray.tsx", "TypeScript React", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 105
"c:\Users\emane\Desktop\App\Punto\src\components\RevisionDeArticulos.tsx", "TypeScript React", 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 188
